,index,date,keyword,search_result
156,0,2023-01-01,همراه اول,13300000
157,0,2023-02-01,همراه اول,12000000
158,0,2023-03-01,همراه اول,5430000
159,0,2023-04-01,همراه اول,17100000
160,0,2023-05-01,همراه اول,19600000
161,0,2023-06-01,همراه اول,7830000
162,0,2023-07-01,همراه اول,14600000
163,0,2023-08-01,همراه اول,19100000
164,0,2023-09-01,همراه اول,15100000
165,0,2023-10-01,همراه اول,9880000
166,0,2023-11-01,همراه اول,15100000
167,0,2023-12-01,همراه اول,15400000
168,0,2024-01-01,همراه اول,22300000
169,0,2024-02-01,همراه اول,7220000
170,0,2024-03-01,همراه اول,16800000
171,0,2024-04-01,همراه اول,13100000
172,0,2024-05-01,همراه اول,9930000
173,0,2024-06-01,همراه اول,11100000
174,0,2024-07-01,همراه اول,4500000
