,index,date,keyword,search_result
152,0,2022-09-01,ایرانسل,99200
153,0,2022-10-01,ایرانسل,96900
154,0,2022-11-01,ایرانسل,44000
155,0,2022-12-01,ایرانسل,90600
156,0,2023-01-01,ایرانسل,87000
157,0,2023-02-01,ایرانسل,106000
158,0,2023-03-01,ایرانسل,41100
159,0,2023-04-01,ایرانسل,128000
160,0,2023-05-01,ایرانسل,1370000
161,0,2023-06-01,ایرانسل,118000
162,0,2023-07-01,ایرانسل,1760000
163,0,2023-08-01,ایرانسل,2110000
164,0,2023-09-01,ایرانسل,1600000
165,0,2023-10-01,ایرانسل,95700
166,0,2023-11-01,ایرانسل,1500000
167,0,2023-12-01,ایرانسل,1400000
168,0,2024-01-01,ایرانسل,1730000
169,0,2024-02-01,ایرانسل,114000
170,0,2024-03-01,ایرانسل,1600000
171,0,2024-04-01,ایرانسل,2040000
172,0,2024-05-01,ایرانسل,541000
173,0,2024-06-01,ایرانسل,242000
174,0,2024-07-01,ایرانسل,359000
